date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:48:04	322/322	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Dec%202020%2020:48:06%20GMT	http://page-flip.info/jquery_newspaper_flipbook	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook.0.delayed	(from )
02:48:04	2217/2217	---M-Z	200	added ('OK')	text/html	etag:%22135205ed-8a9-5b24080066a7d%22	http://page-flip.info/jquery_newspaper_flipbook/	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/index.html	(from )
02:48:04	393/393	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Dec%202020%2020:48:06%20GMT	http://page-flip.info/robots.txt		(from )
02:48:05	30512/30512	---M-Z	200	added ('OK')	text/html	etag:%22135205ec-7730-5b240800418bd%22	http://page-flip.info/jquery_newspaper_flipbook/full-area.html	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/full-area.html	(from http://page-flip.info/jquery_newspaper_flipbook/)
02:48:06	33590/33590	---M-Z	200	added ('OK')	text/html	etag:%22135205e9-8336-5b2407ff9a8de%22	http://page-flip.info/jquery_newspaper_flipbook/full-area-html.html	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/full-area-html.html	(from http://page-flip.info/jquery_newspaper_flipbook/)
02:48:06	32139/32139	---M-Z	200	added ('OK')	text/html	etag:%22135205e8-7d8b-5b2407feeeec6%22	http://page-flip.info/jquery_newspaper_flipbook/full-area-hotspot.html	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/full-area-hotspot.html	(from http://page-flip.info/jquery_newspaper_flipbook/)
02:48:07	30568/30568	---M-Z	200	added ('OK')	text/html	etag:%22135205ea-7768-5b2407ff9c436%22	http://page-flip.info/jquery_newspaper_flipbook/full-area-pdf.html	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/full-area-pdf.html	(from http://page-flip.info/jquery_newspaper_flipbook/)
02:48:07	30497/30497	---M-Z	200	added ('OK')	text/html	etag:%22135205eb-7721-5b2408004014d%22	http://page-flip.info/jquery_newspaper_flipbook/full-area-singlepage.html	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/full-area-singlepage.html	(from http://page-flip.info/jquery_newspaper_flipbook/)
02:48:08	30515/30515	---M-Z	200	added ('OK')	text/html	etag:%22135205e7-7733-5b2407fea1c67%22	http://page-flip.info/jquery_newspaper_flipbook/full-area-autopage.html	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/full-area-autopage.html	(from http://page-flip.info/jquery_newspaper_flipbook/)
02:48:08	13043/13043	---M-Z	200	added ('OK')	text/html	etag:%22135205d0-32f3-5b2407fe4f02f%22	http://page-flip.info/jquery_newspaper_flipbook/bookshelf.html	C:/Users/User/Downloads/Documents/flipping/page-flip.info/jquery_newspaper_flipbook/bookshelf.html	(from http://page-flip.info/jquery_newspaper_flipbook/)
